47,"
?들어갈수 있는때가 한정된 곳이기는 하지만 그래도 주말에는 걸을수 있는 곳이네요날씨가 풀리면(중국 스모그나 오지마라.)걷기 좋을듯 해요.?얼마전에 서서울 호수공원 걸었는데 그때가 진짜 추울때.. 너무 추우면 걷기 어렵네요. 너무 더우나 추우나 블로거들에겐 악재.적당한 날씨가 좋나봐요~?2018년의 마지막 포스팅은 이거네요~저는 오늘 외가가 있는 강원도 갑니다잘 놀다 올께용!! 새해복 많이 받으세요 ♡사랑해요~~
"
48,뚝섬한강공원 건대
49,"






처음으로 핫플레이스라는건대입구에 놀러갔당













































페스타 마레라는건대 파스타 맛집에서맛있게 점심 냠냠




































두번째 핫플커먼그라운드말로만 많이 들어봤던 그곳!컨테이너로 되어 있었는데고전 복고 게임? 이 컨셉인 곳인가보다























그 유명하다는파란색 배경 벽신기한게 중국인 관광객들이엄청 많이 와서 사진을 찍고 있었다여기가 관광 코스중 하나였나보다관광버스들이 줄서있었다
























































마켓같은것도 열려있고


































커먼그라운드 안에는특이한 옷, 예쁜옷 다양하게 많이 있었다그리고 신기했던 식물도 있었다























복고게임을 할수 있는공간들이 있었는데























완전 신기하게그 옛날 팩게임?PS2 같은것 할수 있게되어 있어서 사람들이 다 옹기종기 모여앉아있었다가격은 무료!













































남자친구가 어릴때 좋아했다는슈퍼마리오를 해보았다딱 여기 자리가 비어있었다!























어른이들을 위한 공간 ㅋㅋㅋㅋ다들 추억속에 젖어힐링하는 시간이었다























남자친구 어머님께서 같이 먹으라구빙수 기프티콘 보내주셨다 ㅠ.ㅠ완전 감동 ㅠㅠㅠㅠㅠㅠ내가 한 80%는 먹은듯이날 치과가서 충치치료도 하고 떼우고 그래서이도 아팠는데쿠키가 너무 맛있어서 오그작 오그작 다 씹어먹음완전 나의 취향 저격 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ너무 감사히 잘먹었습니다

























여기 카페베네보통 카페베네랑 디자인 다르게 생겨서신기했당대학교 주변이라 그런지학생들이 노트북 켜놓고 팀과제 하고 있는데뭔가 부러웠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ























그리고 뚝섬 한강공원으로 갔다예전에 더운데 여기서 패널 설치하고유니피스 평화 전시회?했던 기억이 나서남자친구랑 얘기하고 그랬다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ


































여기서 받은 치킨 전단지들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ참 열심히 사시는구나 느꼈다













































탁 트인 한강외국인들이 그렇게 좋아하는곳저 뒤에 롯데타워도 보였다!!!!예전엔 없었는데 이젠 저렇게 랜드마크가 되어서우뚝 서있는게 신기했다


































다들 잔디밭에 돗자리 깔고 앉아있는 모습이평화로웠다~~~~~~~~~여자들끼리도 많이 와있었는데부러웠당우리는 돗자리 안가지고 가서5000원 주고 샀다


































그리고 뚝섬 자전거 대여 정보!1인용 1시간에 3000원 2시간에 5000원2인용 1시간에 6000원 2시간에 9000원나는 이것보다 훨씬 더 비쌀거라고 생각했는데내가 예상했던것보단 저렴했다























뚝섬 자전거 이용시간오전 10시부터 오후 22시주말은 23시까지!물품보관함도 있어서완전 편리하다!


































버스킹 하는 사람들도 있어서낭만적이고 좋았다 이러니까 많은 사람들이 찾나보다


































시간이 흐를수록점점 아름다워졌던뚝섬 한강의 야경!























우리에겐 당연하고 익숙한것이어도외국인 관광객들에겐 너무나 아름다운 이곳!나도 이곳을 새로운 관광지라고 생각하고아름답고 새롭고 설레는 마음으로 바라보게 되었다























정말 한강은 우리나라의 보물같은 곳이다 :)























ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ완전 감동이었던..전날 회식에서 과음해서짜증팍팍내면서 집에 갔는데다음날 남자친구가 이거 들고 와줬다...ㅠ레이디 컨디션에서 감동 백만번 받았는데이거 다 마시니까입 쓰다고갑자기 가방에서 또 주섬주섬 헛개수 물 꺼내는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 너무 사랑스러웠다

























내 남자친구 최고고고고~~~~~~~~!!!!감동감동 ㅠㅠㅠㅠㅠㅠㅠ























그리고 남자친구랑 먹었떤강남 동태탕집의 동태찜!알도 추가해서 먹었는데진짜 알이 먹어도 먹어도 끝이 없었다 ㅎㅎㅎㅎ남자친구가 좋아하는 내장도!ㅋㅋㅋㅋㅋㅋㅋㅋㅋ둘다 정신없이 먹고 싹싹 다 비워냈다담에도 또가야징!!!!!!!!!!알추가 알추가 추천!!!!!!!






"
52,화양공원 건대
53,"
?
"
54,"
안녕하세요. 화양사거리 근처의 가중나무공원앞에 라멘집이 생겼어요.여기는 원래 동네사람들만 다닐정도로 인적이 드문곳인데 건대 원조숯불 소금구이가 수요미식회에 나오더니 헬로카페가 마카롱집으로 진화하고 줄까지 서는거에요.딱 그 건물에 로지라멘이라고 신상 일본라멘집을 다녀왔습니다.????건대 로지라멘서울 광진구 화양동 20-25영업시간 11:30~21:00 브레이크타임 15:00~17:00#건대라멘 #건대로지라멘 #건대라멘 #건대라면 #화양사거리맛집 #화양사거리일본라멘 #건대일본라멘
"
55,"
화양사거리 근처에 위치해있고 근처 주민이나 회사원들이 점심에 많이 찾는곳입니다.왼쪽에는 헬로 마카롱에 사람들이 줄 서 있고 오른쪽엔 숯불 소금구이집이 수요미식회에 나왔어요.
"
56,"
가게 내부는 협소합니다. 12석 정도?
"
57,"
뒤에 옷걸이가 있습니다. 가방은 의자 아래 둘 수 있어요.
"
58,"
무인티켓발급기를 이용해서 주문을 합니다.다른 메뉴들도 많아 보였는데 오픈한지 얼마 안되서 준비중인가봐요. 시로라멘과 아카라멘 교자만두를 먼저 결제했습니다.
"
59,"
먹는 자리보다 더 큰 주방!저희는 10분정도 대기하고 들어가서분주한 주방을 유심히 관찰 할 수 있었습니다.
"
60,"
테이블 위에 놓여진 단무지를 접시에 덜어놓습니다.고추가루가 묻어있네요!
"
61,"
저는 살짝 얼큰한 아카라멘 친구는 시로라멘을 골랐어요. 시로는 돈코츠라멘 베이스고 아카는 돈코츠베이스에 매콤함을 더했지요.
"
62,"
비쥬얼은 합격입니다.차슈도 큼직하고 파와 숙주 목이버섯 반숙 계란도 있어요.
"
63,"
아카라멘입니다.얼큰한 국물을 좋아하는지라 기대가 엄청 되었습니다.
"
64,"
이게 뭔지 몰라서 물어봤는데 목이버섯이래요!! 말린오징어 같았는데 식감이 좋아요!
"
65,"
면은 얇은 소면입니다.
"
66,"
라멘을 중간쯤 먹어갈때 나온 교자!비쥬얼이 엄청 나네요. 전분가구를 얇게 펴서 바닥에 들러붙게 튀기듯이 구워주면 완성입니다.
"
67,"
교자 진짜 맛있었어요.촉촉하고 또 촉촉해서 고추기름이던 간장이던 무얼찍어도 굿
"
68,"
?자 이제부터 솔직후기 들어갈게영. 교자는 정말 맛있었어요.사진 보시다시피 음식 잘 안남기는 제가 라멘을 남겼습니다... 국물 처음 한수저 먹었을때는 맛있었어요. 하지만 면에서 실망을 했습니다.저는 라멘을 먹을때 면을 중요시하게 생각하는데요.아오리라멘은 국물도 얼큰깔끔하고 면도 얇고 꼬들꼬들 후루룩 잘들어가는데로지라멘에서는 면의 전분기를 제거하지 못해서 먹으면 먹을수록 면이 떡지고 전분인지 밀가루인지 국물까지 걸쭉하게 만들어버렸어요.면에서는 조금의 찰기가 느껴지지 않고 깔끔하게 넘어가는 국물을 좋아하는데 걸쭉하고 텁텁해지니까 막판에는 먹기 힘들었네요.계란 반숙은 좋았습니다. 차가웠던것만 빼면요. 계란이나 다른 고명들이 차가우니 국물이 금방 식은점도 아쉬웠습니다.지극히 개인적인 생각이니 참고만 해주세요. 저는 또 가야한다면 생각을 한번 더 해볼듯 합니다.
"
69,느티나무공원 건대
71,능동로분수광장 건대
72,"






지난 금요일인 19일건대입구역에 있는 능동로 분수광장에서 소윙바운더리스 19SS 패션쇼가 있었어요.























야외에서 진행된 이번 쇼은은한 조명과 단풍나무의 조화는 정말 완벽한 쇼장이 되었어요!금요일 저녁이었지만, 하동호 디자이너의 소윙바운더리 19SS 쇼를 보러 많은 셀럽들이 능동로 분수광장을 찾았어요.


































먼저, 엠버와 지숙


































황치열과 강예원























개성있는 포즈로 시선집중한 오나미, 박소영, 김영희 진짜 포토월에서도 끼가 감춰지지 않네요 ㅋㅋㅋㅋㅋ드디어 시작 된 쇼!























정말 많은 분들이 쇼를 보러 왔는데,사진으로 다 담지 못했어요 런웨이가 일반 DDP에서 하는 패션쇼보다 훨씬 길었는데 런웨이 끝까지 사람이 가득 찼어요!

























































































강철웅,?강승현,?진정선,?방태은,?박경진,?남윤수 등 국내 유명 모델들을 한자리에서 모두 볼 수 있어서 제대로 눈 호강 했어요!특히 피날레였던 모델 남윤수 ♥아쉽게도 뒷 모습만 찍었네요 ㅠㅠ 그리고 런웨이에 서진 않았지만, 모델킹 김원중, 박지운님도 소윙바운더리쇼를 보러 오셨답니다.진짜 세상 멋있어요 ㅠㅠㅠ























그리고 SF9 로운이 이번 소윙바운더리스 쇼에 모델로 런웨이에 섰는데,잘생겨서 딱 눈에 띄더라구요!그리고 키가 이렇게 큰 줄 몰랐는데, 큰키와 완벽한 얼굴로 레드컬러의 체크 코트를 정말 멋잇게 소화했어요 ㅋㅋㅋ어두워서 쇼 사진이 다 흔들렸어요 ㅠㅠ다행히 피날레 영상 찍었는데, 소윙바운더리스 쇼 의상은 영상으로 보는게 더 편하실 것 같아요~영상도 보여드릴게욤










 Loading... player_like [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:hlsCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.13.38 (HLS)Build Date (2019/8/1)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.    [SEOUL FASHION WEEK] 19SS 서울패션위크 소윙바운더리스 SWBD 컬렉션 @능동로 분수광장    재생 수27 0      topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 01:08 도움말도움말 화질 선택 옵션자동     자동       144p       270p       360p       480p       720p  HD      1080p  HD      1440p  HD      2160p  UHD  화질  전체화면    00:07  00:20  00:34  00:47  01:00 NAVER TV광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기











네온컬러와 스포티즘이 매력이 강했던 소윙바운더리스 19SS 쇼!다음에도 소윙바운더리스 쇼는 꼭 가고 싶어요~그럼 안녕XD






"
74,심리카페멘토 건대
75,"
비가 많이 오는 오후 입니다. 날도 추적추적하고 좀 센치해지더라구요. 다들 그러지 않으시나요??주말일때 비가오면 좀 아깝긴 하지만, 그래도 나가기가 귀찮아서 집에서 tv를 보거나 심지어 대충 자장면 같은거 시켜먹곤 하잖아요?저랑 아내도 저녁에 맛있는 메뉴 해먹고 쉬는데, TV에서도 쇼프로가 재미도 없어서 뭔가 재미있는걸 해보고 싶더라구요. ?이미 배도 부른터라 외출하는게 의미가 없다 싶었는데, 아내가 특이한 건대이색카페 찾아내서 끌려갔다왔습니다. 그냥 건대 방탈출 카페 갔으면 했는데, 대신 가본 심리카페멘토 소개해볼게요. ??
"
76,"
비가 은근히 많이 오는 일요일 저녁이었습니다. 그래도 사람들은 참 많으네요. 내일 출근생각에 걱정도 될텐데, 전혀 그런모습을 볼 수가 없는 거리 분위기 입니다. 
"
77,"
????
"
78,"
건대이색카페 위치도 알려드릴게요. 지하철 건대입구역 6번출구로 나오면양꼬치 마라샹궈 등이 많은 건대 차이나타운이 나오는 길이 있는데 그 앞쪽입니다. 출구에서 도보로 2분거리예요 진짜 무지무지 가까워서 비오는날, 더운날엔 최고라고 생각합니다. 
"
79,"
????
"
80,"
건물 2층에 있기에 걸어올라갑니다. 신기한게 고퀄인 그림들이 벽에 많이 붙혀져 있는게 신기하더라구요. 다들 심리카페멘토 건대점 다녀간 손님들인데 다들 칭찬일색 이더라구요. ?저희 부부도 완전 기대하면서 올라갔습니다. 
"
81,"
???
"
82,"
진짜 고퀄 맞죠?? 손바닥 만한 종이에 그림을 어쩜 저리 잘 그리시는지 ㅋㅋ잘 보면 진짜 웃긴 그림도 많아서 이거 구경하는데도 10분이 넘게 걸리더라구요. ??
"
83,"
실내는 대충 이런 느낌입니다. 대부분 커플들이 데이트코스로 오기때문에 2인석이 많구요. 4인석도 몇개 있더라구요. ?차분한 분위기 + 테이블 간격이 넓은 건대이색카페 입니다. ??
"
84,"
커피잔 모양의 책장이 참 이색적입니다. 심리관련 서적이 은근히 많더라구요. 여기서 상담도 받고, 책도 읽고 하면 진짜 너무 좋겠네요. ???
"
85,"
멘토 건대점 메뉴판 입니다. 저희는 당연히 심리분석코스로 선택!!음료는 아메리카노랑 망고쥬스로 시켰지요~~??
"
86,"
아주아주 시원해 보이는 커피 입니다. 산미도 적당해서 개인적으로 아주 좋아하는 맛이었습니다. 전 저녁에 커피먹어도 잠이랑 상관이 없어서 그냥 편하게 마시곤 합니다 ^^?다들 어떠신가요? 커피숍에도 야간에 손님들이 북적이기도 하는걸보면, 요즘은 커피가 워낙 일상화 되어있어서 수면에 영향 받는 분들은 예전보다 줄어든거 같더라구요. ???
"
87,"
커피와 음료를 마시면서 성격분석 질문지를 풀어봅니다. 이게 건대이색카페 만의 특징이자 여기오는 목적이랄 까요??쭉쭉읽으면서 푸는거라 지루하지않고 재미있었어요. ?저보다 아내가 엄청 빠르게 풀더라구요. ???
"
88,"
다 풀고나면 상담사 분께서  분석하는동안 여기저기 놓여있는 소품들을 구경해 봅니다. 컵 색상이 참 이쁘더라구요. 조명도 심리카페멘토 답게 은은해서 마음이 안정되요 ^^???
"
89,"
이제 상담해주시는 분께서 자리에 와서 20분정도 상담을 해주세요?
"
90,"
등등의 내용을 아주 자세하고 심오하게 설명해 주시는데완전 빠져든답니다. 어찌나 잘맞추시는지 딱딱 이예요!!???
"
91,"
역시나 심리카페멘토 건대점이 주목받는 이유가 자격증을 가진 분들이 체계적으로 관리를 해주시네요. 심지어 몇년지난 내용들까지 다 보관/관리를 해주시는게 정말 대단한거 같아요. 
"
92,"
?
"
